English,Hindi
2.Bramha or great element is all over the wold .,2 . ब्रह्म या परम तत्त्व सर्वव्यापी है
Premchand was Hindi liturature 's promoter of new era ' .,प्रेमचंद हिन्दी साहित्य के युग प्रवर्तक हैं ।
"e-Kalam : Typing in different fonts has become easy now , type in unicode .",ई - कलम : अलग अलग फॉन्ट पर टाईप करना अब आसान हुआ युनीकोड मे टाईप करें
That is why it is called comercial capital of india .,इसलिए इसे भारत की आर्थिक राजधानी भी कहते हैं ।
He is the first asian to be awarded by Nobel prize .,वे एशिया के प्रथम नोबेल पुरस्कार सम्मानित व्यक्ति है ।
Market and lane gets shined by colorful bulbs .,रंग - बिरंगे बिजली के बल्बों से बाज़ार व गलियाँ जगमगा उठते हैं ।
Arjun was able to shoot the fish in the Matsya king 's court .,अर्जुन द्वारा पांचाल सभा में मत्स्य भेदन
"many worldfame , beautiful tourismplaces are established in its defth which called the heaven of tourist 's",अनेक विश्वप्रसिद्ध मनोरम पर्यटन स्थल इसकी गोद मे बसे हैं जो सैलानियों का स्वर्ग कहलाते हैं ।
"-- 115.117.166.110 17.50 , 12 May 2010 [ UTC ] Enter unorganized text here",- - 115.117.166.110 १७ : ५० १२ मई २०१० ( UTC ) असंरूपित पाठ यहाँ निवेश करें
khchyam ki Madhushala ( 1938 ),खय्याम की मधुशाला ( 1938 )
Taj Mahal was made on a small plateau on the south end of Agra city .,ताजमहल परिसीमित आगरा नगर के दक्षिण छोर पर एक छोटे भूमि पठार पर बनाया गया था ।
Bangal ka Kavya ( 1946 ),बंगाल का काव्य ( 1946 )
But there are arguments against this .,किंतु इसके विरोध मे भी तर्क दिये गये है
Here is a huge statue installed in his memory .,उनकी याद में एक बड़ि मूर्ति यहां स्थापित है ।
The official language of Maharashtra state is Marathi .,महाराष्ट्र राज्य की आधिकारिक राजभाषा मराठी है ।
Bhash apni Bhav paraye ( My language but strange thoughts ) ( 1970 ),भाषा अपनी भाव पराये ( 1970 )
"These walls started by Bago Andurunee the aisle toward the arch , including the column",इन दीवारों की बागों से लगी अंदरूनी ओर में स्तंभ सहित तोरण वाले गलियारे हैं ।
real beauty of taj lies in dome which is equally high as taj .,ताज की सर्वाधिक सुंदरता इसके इमारत के बराबर ऊंचे महान गुम्बद में बसी है ।
This temple is known as the oldest Vishnu temple of Katmandu,इस मंदिर के बारे में कहा जाता है कि यह काठमांडु घाटी का सबसे पुराना विष्णु मंदिर है ।
It name as a Samved because it has mantra in song pattern .,इसमें गायन पद्धति के निश्चित मन्त्र होने के कारण इसका नाम सामवेद है ।
Its capacity is up to 1.25 kilowatts .,इनकी क्षमता १ . २५ किलोवाट तक होती है ।
RECEIVED SOME VERY COSTLY FOREST MEDICINES ACCEPT WATER .,पानी के अतिरिक्त हिमालय से बेशकीमती वनौपज भी मिलती है ।
Series : Poets of Gyanashrayee Branch,श्रेणी : ज्ञानाश्रयी शाखा के कवि
"After his victory , Jung Bahadur started the Rana family and imposed Rana rule .",जंगबहादुर की जीत के बाद राणा खानदान उन्होने सुरुकिया व राणा शासन लागु किया ।
If the bowler violates this rule then umpire calls it as `` '' no ball '' '',अगर गेंदबाज इस नियम को तोड़ता है तो अंपायर नो बाल घोषित कर देता है .
"Why the sky should be made wet by weeping ,",चर्ख ( आसमान ) से क्यों ग़िला करें
Rajasthan means the land of Rajputs . this is one of the strongest reason to called is Rajasthan .,राजस्थान यानि राजपूतो का स्थानइसका नाम राजस्थान होने के पीछे यही एकमात्र मजबूत तर्क है ।
But the full evidence is available,परंतु इसके पूर्ण साक्ष्य उपलब्ध नहीं हैं ।
This scriptures are of the persian fidelity|,ये फारसी लिपिक अमानत खां द्वारा सृजित हैं ।
"this like ki , ka , kha , ga , gha",जैसे कि क्‌ ख्‌ ग्‌ घ्‌ ।
Prakhar Devanagiri Script- A new Hindi tool which ensures 100 % accurate typing ; Remington based Unicode typing tool,प्रखर देवनागरी लिपिक - 100 % शुद्ध टंकण हेतु एक नवीन हिन्दी उपकरण ; REMINGTON BASED UNICODE TYPING TOOL
On that day the people will get the return for their sin and virtue .,उस दिन हर मनुषय को उसके अच्छे और बुरे कर्मों का फल दिया जाएगा ।
it is mentioned four apologias for a description for America detectives,एक विश्लेषण अमेरिकी खुफिया के लिए तैयार में चार त्य्पोलोगिएस का उल्लेख कर रहे हैं .
Ram made His residence in Panchwati .,राम ने पंचवटी को अपना निवास स्थान बनाया ।
16 . Hindu festivals are linked to their happiness .,16 . हिन्दुओं के पर्व और त्योहार खुशियों से जुड़े हैं
Their currency is called pakistani rupiya which can be used to deal .,यहाँ की मुद्रा पाकिस्तानी रुपया है जो पैसे में बाँटा जा सकता है ।
hindi english dictionary in pdf file format,अंग्रेज़ी हिन्दी शब्दकोष पी॰डी॰ऍफ़॰ प्रारूप में
After that he studied M.A . from Prayag University and Ph . D. from Cambridge University .,इसके बाद उन्होने प्रयाग विश्वविद्यालय से अंगरेजी में एम ए और कैम्ब्रिज विश्वविद्यालय से पी एच डी किया ।
According to BBC - The record for the most runs scored also belongs to Sachin .,सर्वाधिक रन का रिकॉर्ड भी सचिन के नाम - बीबीसी पर
Abbasi Kingdom weaken slowly politically .,राजनैतिक तौर पर अब्बासी सम्राज्य धीरे धीरे कमज़ोर पड़ता गया ।
"India is a democratic , socialist republic .",भारत संसदीय प्रणाली की सरकार वाला एक स्वतंत्र प्रभुसत्तासम्पन्न समाजवादी लोकतंत्रात्मक गणराज्य है ।
BMC only takes care of roadways and garbage management of the city .,बी एम सी ही शहर की सड़क रखरखाव और कूड़ा प्रबंधन भी देखता है ।
"He is the essence of the world , soul of the world .",वो ही जगत का सार है जगत की आत्मा है ।
These five Prayags are collectively called Panch Prayag .,इन पांच प्रयागों को सम्मिलित रूप से पंच प्रयाग कहा जाता है ।
Literary essay of Professor Mahavir Saran Jain : Human vision and social consciousness in the poetry of Bachchan .,प्रोफ़ेसर महावीर सरन जैन का आलेख : बच्‍चन के काव्‍य में निहित मानवीय दृष्‍टि एवं सामाजिक चेतना
Determine the amount of money to the Consolidated Fund,4 . संचित निधि की धन मात्रा का निर्धारण
"Nishhad king Gooh , in Rugwadapur did great service to these three .",ऋंगवेरपुर में निषादराज गुह ने तीनों की बहुत सेवा की ।
39 . The pictures of Jodhpur rulers are also displayed in Jaswant Thada .,39 . जोधपुर के शासकों के कुछ चित्र भी जसवन्त ठाड़ा पर प्रदर्शित किये गये हैं ।
So far Mumbai has the largest number of skyscrapers in India .,मुंबई में अब तक भारत में सबसे अधिक गगनचुम्बी इमारतें हैं ।
This contains the utilization of Brij language 's soft and supreme phraseology .,ब्रजभाषा की कोमलकांत पदावली का प्रयोग इसमें हुआ है ।
People with more zeal believe that Panini 's Ashtudhyathi kavya is the reason for sanskrits origin,अधिकांश लोग पाणिनि की अष्टाध्यायी से काव्य संस्कृत का आरम्भ मानते हैं ।
after reaching east Asia Bubhash Babu firstly took the leadership from oldman Rasbihari bose for Indian independence organization,पूर्व एशिया पहुँचकर सुभाषबाबू ने सर्वप्रथम वयोवृद्ध क्रांतिकारी रासबिहारी बोस से भारतीय स्वतंत्रता परिषद का नेतृत्व सँभाला ।
Deep shade of white mausoleum could clearly be seen in the lake,श्वेत मकबरे की गहरी छाया को स्पष्ट देखा जा सकता था उस सरोवर में ।
3 . Addition or allotment of funds from contingency/ reserves .,3 . भारत की आपात / संचित निधि से धन की निकासी / जमा करना
Kalpana Chaval completed her primary education from Taigor Public School of Karnal .,कल्पना चावला ने प्रारंभिक शिक्षा टैगोर पब्लिक स्कूल करनाल से प्राप्त की ।
The base of Indian culture is the Vedas .,भारतीय संस्कृति के मूल वेद हैं ।
there are many legends about the origin of Kabir .,कबीर की उत्पत्ति के संबंध में अनेक किंवदन्तियाँ हैं ।
Amazing scene of Tajmahal with sunset .,डूबते सूर्य के संग ताज का अद्वितीय दृश्य
IME of Hindi writer ( Development related ),हिन्दीराइटर का आईएमई ( विकास बन्द )
THE PARK IS OUTSPREAD IN 932 SQUARE KILO METER ARE SITUATED IN THE MIDDLE NORTH .,932 वर्ग किमी . में फैला यह उद्यान दक्षिण - मध्य नेपाल में स्थित है ।
agra is the uttar pradesh dist and thasil,आगरा उत्तर प्रदेश प्रान्त का एक ज़िला शहर व तहसील है ।
11 players feild the ground .,क्षेत्ररक्षण टीम के सभी ११ खिलाड़ी एक साथ मैदान पर होते हैं ।
The highest peaks are present in the hilly area .,हिमाली क्षेत्र मे संसार की सबसे ऊंची हिमशृंखलायें पड़ती हैं ।
"Some of the prominent rivers of Himalaya are Sindhu , Ganga , Brahmputra , and Yandtej .",हिमालय की कुछ प्रमुख नदियों में शामिल हैं - सिंधु गंगा ब्रम्हपुत्र और यांगतेज ।
"Many Many books in Sankrit , in Devanagari",संस्कृत के अनेकानेक ग्रन्थ देवनागरी में
Dungarpur and Udeipur group in the southern part of the ancient 56 villages know Chappan By Name,डूंगरपुर तथा उदयपुर के दक्षिणी भाग में प्राचीन ५६ गांवों के समूह को छप्पन नाम से जानते हैं ।
"Farmer , National Movement and Premchand , 1918-22 ( Google book- Writer- Veer Bharat Talwar",किसान राष्ट्रीय आन्दोलन और प्रेमचन्द 1918 - 22 ( गूगल पुस्तक ; लेखक - वीर भारत तलवार )
"On 3rd June , 1973 he celebrated his marriage with Jaya Bhaduri as per Bengali rituals .",३ जून १९७३ को इन्होंने बंगाली संस्कार के अनुसार अभिनेत्री जया भादुड़ी से विवाह कर लिया ।
Information about sheel English- Hindi dictionary,शील अंग्रेजी - हिन्दी शब्दकोष - जानकारी
Due to immigration of Muslims in other countries Islam has also spread in Europe and America .,मुसल्मानों के अन्य देशों में प्रवास के कारण युरोप और अमरीका में भी इस्लाम फैल गया है ।
as per many proffes it is accpeted that he died betwee year 1620 and 1648,अनेक प्रमाणों के आधार पर उनका मृत्यु संवत् १६२० से १६४८ वि० के मध्य स्वीकार किया जाता है ।
The total 27 % land of the country is Cultivable .,देश की कुल 27 % भूमि कृषियोग्य है ।
Meaning of the word 'An ' - say or inform,‘अण’ शब्द का अर्थ होता है - कहना या बतलाना ।
That is the secret of this language .,यही इस भाषा का रहस्य है ।
There is an elevated are in the garden,इस बाग में ऊँचा उठा पथ है ।
This is the literature of different accent of Hindi,हिंदी की विभिन्न बोलियों का साहित्य
Besides all this cow in Hindu Dharma is worshiped as the mother,इन सबके अलावा हिन्दु धर्म में गाय को भी माता के रूप में पूजा जाता है ।
Second or other part of the main one is terminated .,दूसरी ओर ज्ञानविज्ञान के लिहाज़ से आगे और निरंतर आगे विचार ‎करना होगा ।
Al Khwarizmi is known as the father of Algebra .,अल ख्वारिज़्मी को बीजगणित की पिता कहा जाता है ।
"General architecture for text analysis ( GATE ) -Mukhssraot , suitable for all types of natural language processing",General architecture for text analysis ( GATE ) - मुक्तस्रोत सभी प्रकार के प्राकृतिक भाषा प्रसंस्करण के लिये उपयुक्त
During World War II Azad Hind Army attached Indian with help of Jananese army .,द्वितीय विश्वयुद्ध के दौरान आज़ाद हिन्द फौज ने जापानी सेना के सहयोग से भारत पर आक्रमण किया ।
Bhisma and other teacher are not qualified as mourning .,भीष्म आदि गुरुजन शोक के योग्य नहीं हैं ।
